"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"OASL",-0.350686834331213,8.82218669980933,-2.76716817798364,0.00670153900128145,0.0168064085934098,-3.26240298152773
"SMPD2",0.265231253751248,8.47115959913996,2.76674385426261,0.00670965408321898,0.0168220478877232,-3.26349612135432
"SYNC",-0.224484712645075,6.76747294709467,-2.76641573240598,0.00671593547242427,0.0168310381607437,-3.26434132767797
"HPS1",0.129942472460911,8.36238343136934,2.76636016188882,0.00671699981551853,0.0168310381607437,-3.26448446276071
"ZNF202",0.168940956555421,7.48208179815948,2.76577599100091,0.00672819776221558,0.0168543801245428,-3.26598898405195
"MAST3",-0.182086857812199,8.69886746345275,-2.76567065669117,0.00673021872168904,0.0168547267735055,-3.26626024150853
"FHIT",0.216925070461879,6.90469180738333,2.76468271263709,0.0067492005217971,0.0168975369887163,-3.26880396724363
"DTX3L",-0.147052073284879,10.8060928123506,-2.76456150051694,0.00675153278216893,0.0168986505448025,-3.26911600632382
"PTGIS",0.37530714844972,6.41411655244275,2.76420237301467,0.00675844712244969,0.016911228923223,-3.27004044716454
"TCF20",0.176589264620812,8.89097186789762,2.76283214022248,0.00678488779201191,0.0169726461027892,-3.27356665444268
"ZNF652",0.197611658407966,8.69674622859759,2.7624678249085,0.00679193364884514,0.016985525686623,-3.27450394347284
"NDUFA5",0.139463191528559,10.3978050557065,2.7611435932971,0.00681760051173384,0.0170449531922795,-3.27790995213368
"RNF19B",-0.21841511201276,10.1079933536974,-2.75891999579531,0.0068608982675173,0.0171484149048248,-3.28362602357829
"PI3",0.353964921554649,13.2377601710158,2.7582799561886,0.00687340745466883,0.017174886112657,-3.28527060053507
"SH3BP4",0.183638072004197,9.2171457381625,2.75372534873362,0.00696302652800061,0.017393966658814,-3.29696413526155
"RHOA",-0.138696471506027,12.2762702930025,-2.75117501538007,0.00701367214100339,0.0175155946104333,-3.30350460627033
"LACTB2",0.220545222060275,8.99505829957819,2.750877972268,0.00701959272076001,0.0175254918095272,-3.30426605006882
"ACTL6A",0.12888731612589,9.52958316216279,2.74997113551342,0.00703769571633752,0.0175657902839057,-3.30659020748498
"CDAN1",0.180827826125682,7.27511077912328,2.74865803236003,0.00706398431284134,0.0176264915141774,-3.30995442532296
"PRELID1",-0.135864444238915,12.0271867907484,-2.74785532391547,0.00708009872620744,0.017661778739408,-3.31201031096916
"CHCHD4",0.167191284179236,8.5948505261476,2.74755659300701,0.0070861043092137,0.0176718361783817,-3.31277528416269
"WDR92",0.174594666298285,7.92343469379882,2.74672153698697,0.0071029166097637,0.0177088310797033,-3.31491326779905
"EIF2D",0.13235859007029,9.41471529415509,2.74590191528599,0.0071194534920488,0.0177451189071027,-3.31701118999002
"ZBTB4",-0.213118267219098,9.06086082261836,-2.74578546533455,0.0071218058568531,0.0177460417023117,-3.31730921409158
"XRCC5",-0.102336815845732,11.2260277727546,-2.74562163729803,0.00712511648834755,0.0177493511185798,-3.31772847191977
"PIK3CA",-0.182396022670934,8.56573160269076,-2.74511674699153,0.00713532811286563,0.0177695841177993,-3.31902041791167
"ANKRD20A11P",0.390761017883675,6.63934374589962,2.74502386505263,0.00713720814113775,0.0177695841177993,-3.31925806790491
"KNOP1",0.278126244129736,6.86230458173757,2.7445851140636,0.00714609502359934,0.0177867636214303,-3.32038057309467
"UBE4A",-0.11576735316491,10.9019838437915,-2.74297607763274,0.007178772300595,0.017863131853037,-3.32449582399693
"HIVEP3",-0.410363155333772,6.23704494414136,-2.74212395179488,0.00719613284142328,0.0179013551901258,-3.32667436661657
"SLC13A2",0.570108613961079,4.90523363690233,2.74196044546454,0.00719946835892024,0.0179046778381703,-3.32709231966253
"DERL2",-0.106132091073001,10.4864815900115,-2.73963632556049,0.00724703270719156,0.0180179627402072,-3.33303088287658
"ADAMTS10",-0.26880451144814,7.22349835937756,-2.73883768293273,0.00726344328577852,0.0180537500659564,-3.33507056137762
"RPL36AL",-0.0911227096796658,12.1571764955076,-2.73810125760144,0.0072786053910286,0.0180864152278321,-3.33695088619882
"QDPR",0.176645873330611,8.99973970010593,2.73788824531065,0.00728299642530769,0.0180923049377857,-3.33749469197729
"FNBP4",-0.216454411591304,9.4166390905445,-2.73750598446854,0.00729088239564249,0.0181068710369451,-3.3384704861114
"RBM22",-0.117340806361899,9.94782466461676,-2.73699872853806,0.00730135899272869,0.0181263761490298,-3.3397651725511
"MREG",-0.168879785187895,8.44396877946985,-2.7369297101426,0.00730278552100419,0.0181263761490298,-3.33994131452058
